Sum_Produce,Store_Type,Date
25151525.84,Historical,2012-03
24406048.3899999,Historical,2012-04
28249539.01,Historical,2012-05
28691364.32,Historical,2012-06
28535707.45,Historical,2012-07
25793520.64,Historical,2012-08
21915641.66,Historical,2012-09
21203562.52,Historical,2012-10
21736158.96,Historical,2012-11
21962976.75,Historical,2012-12
20322683.64,Historical,2013-01
19829620.75,Historical,2013-02
22717069.8500001,Historical,2013-03
21625385.04,Historical,2013-04
23000152.4,Historical,2013-05
24755406.2,Historical,2013-06
26803105.5600001,Historical,2013-07
22600217.01,Historical,2013-08
21401265.74,Historical,2013-09
19296578.09,Historical,2013-10
20489773.49,Historical,2013-11
21715706.6699999,Historical,2013-12
22544458.38,Historical,2014-01
21262413.12,Historical,2014-02
23247168.62,Historical,2014-03
22541987.92,Historical,2014-04
25943046.7499999,Historical,2014-05
24782178.43,Historical,2014-06
24263117.59,Historical,2014-07
21879988.86,Historical,2014-08
18407263.58,Historical,2014-09
19497571.95,Historical,2014-10
19444753.17,Historical,2014-11
19240384.75,Historical,2014-12
20088529.29,Historical,2015-01
19772333.34,Historical,2015-02
24608406.71,Historical,2015-03
21559729.45,Historical,2015-04
25792074.5900001,Historical,2015-05
27212464.15,Historical,2015-06
26338477.15,Historical,2015-07
23130626.5999999,Historical,2015-08
20774415.93,Historical,2015-09
20359980.58,Historical,2015-10
21936906.81,Historical,2015-11
20462899.3,Historical,2015-12
21829060.031666,Existing,2016-1
21146329.6319817,Existing,2016-2
23735686.9387899,Existing,2016-3
22409515.2844737,Existing,2016-4
25621828.7250966,Existing,2016-5
26307858.0400465,Existing,2016-6
26705092.5563487,Existing,2016-7
23440761.3295266,Existing,2016-8
20640047.3199708,Existing,2016-9
20086270.4620746,Existing,2016-10
20858119.95754,Existing,2016-11
21255190.2449756,Existing,2016-12
2563357.91004118,New,2016-1
2483924.72756208,New,2016-2
2910944.1456874,New,2016-3
2764881.86969732,New,2016-4
3141305.86730493,New,2016-5
3195054.20380398,New,2016-6
3212390.95408986,New,2016-7
2852385.7691978,New,2016-8
2521697.18679037,New,2016-9
2466750.89369629,New,2016-10
2557744.58771366,New,2016-11
2530510.80513342,New,2016-12
